#time	Amp	HF TGC
0.0	0.431	-0.004	0.472
0.1	0.499	0.020	0.787
0.2	0.552	0.972	0.315
0.3	0.586	-0.311	0.157
0.4	0.600	-1.012	0.787
0.5	0.594	-0.217	0.787
0.6	0.572	0.193	0.630
0.7	0.537	0.413	0.472
0.8	0.494	0.209	0.315
0.9	0.450	-0.004	0.472
1.0	0.409	0.248	0.630
1.1	0.376	0.114	0.787
1.2	0.353	-0.036	0.630
1.3	0.343	0.547	0.472
1.4	0.343	0.051	0.472
1.5	0.353	-0.185	0.630
1.6	0.370	-0.012	0.630
1.7	0.391	-0.784	0.630
1.8	0.412	-0.185	0.630
1.9	0.431	0.350	0.472
2.0	0.443	0.169	0.472
2.1	0.449	0.169	0.472
2.2	0.446	0.027	0.630
2.3	0.434	-0.240	0.630
2.4	0.414	-0.358	0.472
2.5	0.387	-0.272	0.472
2.6	0.355	-0.445	0.472
2.7	0.318	0.004	0.472
2.8	0.278	0.256	0.630
2.9	0.238	0.224	0.472
3.0	0.198	0.224	0.472
3.1	0.161	0.051	0.472
3.2	0.127	-0.020	0.472
3.3	0.098	0.035	0.472
3.4	0.073	0.020	0.472
3.5	0.054	0.004	0.472
3.6	0.041	0.059	0.472
3.7	0.032	0.012	0.630
3.8	0.027	-0.028	0.472
3.9	0.026	-0.012	0.472
4.0	0.027	-0.051	0.630
4.1	0.029	-0.028	0.630
4.2	0.031	0.004	0.472
4.3	0.033	0.012	0.472
4.4	0.034	0.035	0.472
4.5	0.034	0.035	0.472
4.6	0.032	0.004	0.472
4.7	0.029	-0.004	0.472
4.8	0.025	-0.004	0.472
4.9	0.021	-0.020	0.472
5.0	0.017	-0.012	0.472
5.1	0.014	0.004	0.472
5.2	0.012	-0.004	0.472
5.3	0.010	-0.004	0.472
5.4	0.010	-0.012	0.472
5.5	0.011	-0.012	0.630
5.6	0.013	-0.012	0.472
5.7	0.015	-0.004	0.472
5.8	0.017	0.012	0.472
5.9	0.019	0.020	0.472
6.0	0.020	0.020	0.472
6.1	0.021	0.020	0.630
6.2	0.021	0.004	0.472
6.3	0.020	-0.012	0.472
6.4	0.019	-0.012	0.630
6.5	0.017	-0.012	0.630
6.6	0.014	-0.012	0.630
6.7	0.012	0.004	0.157
6.8	0.009	0.004	0.472
6.9	0.007	0.004	0.630
7.0	0.006	0.004	0.630
7.1	0.005	-0.004	0.630
7.2	0.004	-0.004	0.630
7.3	0.004	0.004	0.630
7.4	0.004	0.004	0.630
7.5	0.004	0.004	0.630
7.6	0.005	0.004	0.630
7.7	0.005	0.004	0.630
7.8	0.006	-0.004	0.472
7.9	0.006	-0.004	0.630
8.0	0.006	-0.004	0.472
